group,day,wafer,n_samples,n_features,duration_s
Day_2024_07_02_Wafer_01,2024_07_02,1,3245,44,691.4800000190735
Day_2024_07_02_Wafer_02,2024_07_02,2,3298,44,701.9699997901917
Day_2024_07_02_Wafer_03,2024_07_02,3,3247,44,691.4400000572205
Day_2024_07_02_Wafer_04,2024_07_02,4,3247,44,691.5
Day_2024_07_02_Wafer_05,2024_07_02,5,3298,44,701.9900000095367
Day_2024_07_02_Wafer_06,2024_07_02,6,3246,44,691.4000000953674
Day_2024_07_02_Wafer_07,2024_07_02,7,3247,44,691.7699999809265
Day_2024_07_02_Wafer_08,2024_07_02,8,3298,44,701.710000038147
Day_2024_07_02_Wafer_09,2024_07_02,9,3246,44,691.4399998188019
Day_2024_07_02_Wafer_10,2024_07_02,10,3247,44,694.2000000476837
Day_2024_07_05_Wafer_01,2024_07_05,1,3245,31,690.9500000476837
Day_2024_07_05_Wafer_02,2024_07_05,2,3247,31,691.4500000476837
Day_2024_07_05_Wafer_03,2024_07_05,3,3247,31,691.710000038147
Day_2024_07_05_Wafer_04,2024_07_05,4,3298,31,701.960000038147
Day_2024_07_05_Wafer_05,2024_07_05,5,3247,31,691.7200000286102
Day_2024_07_05_Wafer_06,2024_07_05,6,3247,31,691.4399998188019
Day_2024_07_05_Wafer_07,2024_07_05,7,3247,31,691.4800000190735
Day_2024_07_05_Wafer_08,2024_07_05,8,3299,31,701.960000038147
Day_2024_07_05_Wafer_09,2024_07_05,9,3246,31,691.4800000190735
Day_2024_07_05_Wafer_10,2024_07_05,10,3246,31,649.0
Day_2024_07_09_Wafer_01,2024_07_09,1,3247,31,691.7200000286102
Day_2024_07_09_Wafer_02,2024_07_09,2,3298,31,701.710000038147
Day_2024_07_09_Wafer_03,2024_07_09,3,3247,31,691.7200000286102
Day_2024_07_09_Wafer_04,2024_07_09,4,3247,31,691.4700000286102
Day_2024_07_09_Wafer_05,2024_07_09,5,3195,31,681.1800000667572
Day_2024_07_09_Wafer_06,2024_07_09,6,3246,31,691.5099999904633
Day_2024_07_09_Wafer_07,2024_07_09,7,3246,31,691.6499998569489
Day_2024_07_09_Wafer_08,2024_07_09,8,3247,31,691.420000076294
Day_2024_07_09_Wafer_09,2024_07_09,9,3247,31,691.2400000095367
Day_2024_07_09_Wafer_10,2024_07_09,10,3349,31,669.6099998950958
Day_2024_07_11_Wafer_01,2024_07_11,1,3247,31,690.7400000095367
Day_2024_07_11_Wafer_02,2024_07_11,2,3246,31,690.670000076294
Day_2024_07_11_Wafer_03,2024_07_11,3,3195,31,680.1299998760223
Day_2024_07_11_Wafer_04,2024_07_11,4,3247,31,690.75
Day_2024_07_11_Wafer_05,2024_07_11,5,3195,31,680.1800000667572
Day_2024_07_11_Wafer_06,2024_07_11,6,3247,31,690.420000076294
