exp_key,lot,seq,P_raw,Q_raw
2024-07-02_01,2024-07-02,1,0.04237349928731623,518.852297560217
2024-07-02_02,2024-07-02,2,0.04237521879892452,518.3975202256452
2024-07-02_03,2024-07-02,3,0.04238540089713687,518.4594589775071
2024-07-02_04,2024-07-02,4,0.04236520526444618,518.4827227762819
2024-07-02_05,2024-07-02,5,0.04237370150175074,518.4125066784607
2024-07-02_06,2024-07-02,6,0.04238270342962933,518.4570312750566
2024-07-02_07,2024-07-02,7,0.042376027774098386,518.5545124398313
2024-07-02_08,2024-07-02,8,0.04238030963105703,518.3700824826145
2024-07-02_09,2024-07-02,9,0.042380781696678534,518.570038435423
2024-07-02_10,2024-07-02,10,0.04239329014008642,518.5221358102848
2024-07-05_01,2024-07-05,1,0.04239032330809114,518.5686127219288
2024-07-05_02,2024-07-05,2,0.042367632880138735,518.3712257872105
2024-07-05_03,2024-07-05,3,0.04236992548608591,518.4092702475915
2024-07-05_04,2024-07-05,4,0.04236911628169239,518.4375203407476
2024-07-05_05,2024-07-05,5,0.04237346559579579,518.4955717264332
2024-07-05_06,2024-07-05,6,0.042372117014959784,518.3533057950102
2024-07-05_07,2024-07-05,7,0.04234527946975451,518.254684667466
2024-07-05_08,2024-07-05,8,0.04236466589428369,518.5769369296248
2024-07-05_09,2024-07-05,9,0.04238796326321118,518.5130396240761
2024-07-05_10,2024-07-05,10,0.04235566377235339,518.4752072298608
2024-07-09_01,2024-07-09,1,0.042361260587079494,518.7038551512308
2024-07-09_02,2024-07-09,2,0.0423646321726193,518.6910300507391
2024-07-09_03,2024-07-09,3,0.0423763651081781,518.4429150695761
2024-07-09_04,2024-07-09,4,0.042365677299923736,518.671377759398
2024-07-09_05,2024-07-09,5,0.042387282700266676,518.3494310606183
2024-07-09_06,2024-07-09,6,0.04239211020588031,518.6441218982346
2024-07-09_07,2024-07-09,7,0.04236985802391716,518.6149444236914
2024-07-09_08,2024-07-09,8,0.04235674270421809,518.3269371052448
2024-07-09_09,2024-07-09,9,0.04238452424125059,518.3210876594314
2024-07-09_10,2024-07-09,10,0.04238136246343487,518.4665164142073
2024-07-11_01,2024-07-11,1,0.04233897465268,518.6547220752311
2024-07-11_02,2024-07-11,2,0.042394436677931656,518.5059020598824
2024-07-11_03,2024-07-11,3,0.04237212924266828,518.3428024051951
2024-07-11_04,2024-07-11,4,0.0423770731802344,518.6264581778121
2024-07-11_05,2024-07-11,5,0.042380373456200784,518.482014350575
2024-07-11_06,2024-07-11,6,0.042356102068582584,518.444519520258
2024-07-11_07,2024-07-11,7,0.04238489507907902,518.3904872632429
2024-07-11_08,2024-07-11,8,0.042360181616906856,518.6514651199278
2024-07-11_09,2024-07-11,9,0.04238324206796975,518.1818650708437
2024-07-11_10,2024-07-11,10,0.042369725915649345,518.2325419817649
2024-07-19_01,2024-07-19,1,0.042363283981647445,518.2867039386979
2024-07-19_02,2024-07-19,2,0.042333685027876974,518.3635032657294
2024-07-19_03,2024-07-19,3,0.04236540772568432,518.6032789144087
2024-07-19_04,2024-07-19,4,0.04236507048078047,518.317712640344
2024-07-19_05,2024-07-19,5,0.042351618059361336,518.5658715888305
2024-07-19_06,2024-07-19,6,0.04235141576077495,518.2500962066682
2024-07-19_07,2024-07-19,7,0.042353067862966415,518.5711043738526
2024-07-19_08,2024-07-19,8,0.0423459539055543,518.4659799773979
2024-07-19_09,2024-07-19,9,0.042386615286408386,518.4239972788214
2024-07-19_10,2024-07-19,10,0.042369757054859694,518.3160841525008
2024-08-01_01,2024-08-01,1,0.04236840818577213,518.8217244848599
2024-08-01_02,2024-08-01,2,0.042400134656394924,518.6538588613535
2024-08-01_03,2024-08-01,3,0.04239683041433205,518.6751536624531
2024-08-01_04,2024-08-01,4,0.042356270673136534,518.682527305623
2024-08-01_05,2024-08-01,5,0.04237457813188906,518.7808144811136
2024-08-01_06,2024-08-01,6,0.0423707345768116,518.685642418699
2024-08-01_07,2024-08-01,7,0.04239170561059154,518.5956325108651
2024-08-01_08,2024-08-01,8,0.04235148308792391,518.7403086783718
2024-08-01_09,2024-08-01,9,0.042390222129282,518.4609895093123
2024-08-01_10,2024-08-01,10,0.04237110545231998,518.6467955590565
2024-08-05_01,2024-08-05,1,0.04239254857684138,518.5057706955396
2024-08-05_02,2024-08-05,2,0.042382939734991666,518.2667715604853
2024-08-05_03,2024-08-05,3,0.042359878260087136,518.7449447879799
2024-08-05_04,2024-08-05,4,0.04237528627302525,518.4956867933575
2024-08-05_05,2024-08-05,5,0.04239595371134584,518.648259096389
2024-08-05_06,2024-08-05,6,0.04239325649440992,518.7097221889934
2024-08-07_01,2024-08-07,1,0.042376499995463654,518.7901535241375
2024-08-07_02,2024-08-07,2,0.04236476709946879,518.5086161008265
